Num Fea HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM
195 who 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
197 wife 1 1 1 2 1 1 3 1 4 1 1 5 6 7 1 8 1 9 1 1 1 10 11 12 
198.1 wind1 1 2 2 3 1 1 1 1 1 1 4 1 5 6 1 7 1 1 1 1 1 1 8 9 
198.2 wind2 1 2 2 3 10 11 11 12 13 10 4 10 5 6 10 7 12 13 10 10 10 10 8 9 
199.1 wing1 1 3 1 4 5 1 1 6 1 2 17 7 8 9 10 11 12 1 13 14 2 18 15 16 
199.2 wing2 1 3 19 4 5 20 20 6 21 2 17 7 8 9 10 11 12 21 13 14 2 18 15 16 
200 wipe 1 2 3 4 5 6 7 8 9 10 11 12 1 13 5 14 15 16 17 18 17 19 20 21 
202 woman 1 1 1 2 3 1 1 1 4 5 1 6 1 7 3 8 1 9 1 1 5 1 10 11 
205a you 1 3 1 4 5 1 1 1 2 1 1 1 1 7 5 9 1 2 1 1 1 1 10 12 
207.1 yellow1 1 2 3 4 5 6 6 6 6 6 7 8 1 9 10 11 6 6 12 6 6 13 14 15 
207.2 yellow2 1 2 3 4 5 16 16 6 17 18 7 8 1 9 10 11 17 17 12 6 18 13 14 15 
301 arm 1 2 3 4 5 5 5 6 7 8 9 10 11 12 5 13 8 7 8 8 8 14 15 16 
304 autumn 1 2 3 4 5 6 7 3 8 9 10 11 12 13 14 15 3 8 3 16 9 17 18 19 
305 be_awake 1 2 3 4 5 3 3 6 6 7 8 17 9 10 11 12 6 13 7 7 7 14 15 16 
307 axle 1 2 3 4 5 3 6 3 3 3 7 3 8 9 10 11 3 3 12 3 3 3 13 14 
309 bear 1 1 1 1 2 1 1 3 4 5 6 1 7 8 9 10 4 4 11 5 5 1 12 13 
310 beard 1 1 2 1 3 1 4 5 5 5 6 5 7 8 9 10 5 5 11 12 5 13 14 15 
311 bee2 1 2 16 17 3 4 5 6 18 6 6 7 8 9 10 11 18 18 12 6 6 13 14 15 
312 be_born 1 2 2 3 4 2 2 5 6 7 2 2 8 9 4 10 6 6 7 7 7 2 2 11 
313.1 bow1 1 2 3 4 5 6 6 7 7 8 9 10 11 12 13 6 14 7 15 8 8 16 17 18 
313.2 bow2 1 2 3 4 5 6 19 7 7 8 9 10 11 12 13 19 14 7 15 8 8 16 17 18 
315.1 break1 1 2 3 4 5 2 6 7 8 9 2 9 10 11 5 12 7 8 9 13 9 14 15 16 
315.2 break2 1 2 3 4 5 2 6 7 8 9 2 17 10 11 5 12 7 8 9 13 9 14 15 16 
316 bronze 1 2 3 4 5 6 7 8 9 7 10 7 11 12 13 14 15 16 7 7 7 10 7 7 
317.1 brother1 1 2 3 4 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 
317.2 brother2 1 2 3 4 2 2 2 2 5 2 2 2 1 1 2 2 2 5 2 2 2 2 2 2 
318 brother-in-law 1 2 2 3 4 2 5 2 6 2 7 2 8 9 10 11 12 6 13 14 15 16 17 18 
320 buy 1 16 17 2 3 3 4 5 6 7 3 8 9 10 11 12 13 6 7 14 15 3 8 8 
321.1 carry1 1 2 2 3 2 2 2 4 4 2 2 2 1 5 2 2 6 4 2 2 7 8 2 2 
321.2 carry2 1 2 2 3 2 2 2 9 4 2 2 2 1 5 2 2 6 4 2 2 7 8 2 2 
324 comb 1 2 3 4 5 6 7 8 9 10 20 3 11 12 13 14 15 16 17 10 10 18 19 3 
325 cook 1 2 3 4 3 3 3 5 6 7 8 3 9 10 3 11 12 13 14 15 16 17 18 19 
327 darkness 1 2 3 4 5 6 6 6 6 7 16 6 8 9 5 10 11 6 12 13 17 16 14 15 
328 daughter 1 2 2 3 2 2 2 2 2 2 4 5 2 2 2 6 2 7 2 2 2 8 2 9 
329 daughter-in-law 1 2 2 2 3 2 4 2 5 2 6 2 7 8 9 10 5 11 12 2 2 13 14 15 
331 drive 1 2 4 5 7 3 3 9 9 10 3 3 13 14 16 17 9 9 10 18 10 19 21 3 
333 eight 1 2 2 2 2 2 2 2 2 2 2 2 3 2 2 4 2 2 2 2 2 2 5 6 
334.1 elbow1 1 2 3 4 5 6 6 7 7 8 8 9 10 11 12 13 7 7 14 8 8 8 15 16 
334.2 elbow2 1 2 3 4 5 6 6 7 7 17 8 9 10 11 12 13 7 7 14 17 17 18 15 16 
335 eyebrow 1 2 3 4 3 3 3 3 5 3 3 6 7 8 3 9 3 10 11 3 3 12 13 14 
336 father-in-law 1 2 3 4 5 4 4 4 6 4 7 4 8 9 10 11 12 13 4 14 4 15 16 17 
338 finger 1 2 3 4 5 6 7 8 8 9 10 11 12 13 5 14 8 8 9 9 9 15 16 17 
339 fly 1 2 2 2 3 4 4 2 2 5 6 2 7 8 9 10 2 2 11 5 5 6 12 13 
340 follow 1 2 3 4 5 3 3 6 3 7 3 3 8 9 3 10 11 3 12 7 7 13 14 15 
341 free 1 2 3 4 5 6 7 8 9 10 11 3 12 1 13 14 15 16 10 10 10 10 3 17 
342 furrow 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 19 10 10 20 21 
344 goat 1 2 3 4 5 4 6 7 4 8 9 10 11 12 5 13 4 14 8 8 8 9 15 10 
345 gold 1 2 3 4 5 6 6 14 7 15 8 7 9 10 5 6 7 16 15 15 15 11 12 13 
346 goose 1 2 3 4 5 3 6 3 3 3 7 3 8 9 10 11 3 3 12 3 3 7 13 14 
348 grind 1 2 2 3 4 5 6 1 1 7 1 1 8 9 10 11 12 1 1 1 1 1 13 1 
349 half 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 10 10 10 18 19 20 
353 horse 1 2 3 4 3 3 3 5 6 7 3 3 3 3 3 3 8 9 3 7 7 10 11 12 
355 hundred 1 2 3 4 3 3 3 3 3 3 3 3 5 6 3 7 8 3 3 3 9 3 10 11 
